Pág.,Mês,Ano,VENCIMENTO PADRAO-VP,ADICIONAL POR MERITO,ABF-ADIC.BASICO DE FUNCAO,ATFC-AD.TEMP.FATORES/COMI,HORA EXTRA-BCO HORAS-CONV     JULHO/18,CASSI-PARTICIPACOES,CASSI CO-PARTICIPACAO,PREVI PESSOAL PB2 AC.SIST/0718,PREVI PES.MENSAL PB2-2B     JULHO/18,CONTR. TEMPORARIA - CASSI     JULHO/18,CASSI PESSOAL     JULHO/18,"IMPOSTO DE RENDA-FONTE        11,87",HORA EXTRA-BCO HORAS-CONV    AGOSTO/18,CASSI-ASSISTENCIA FARMACE,CONTRIBUICAO NEGOCIAL,PREVI PESSOAL PB2 AC.SIST/0818,PREVI PES.MENSAL PB2-2B    AGOSTO/18,CONTR. TEMPORARIA - CASSI    AGOSTO/18,CASSI PESSOAL    AGOSTO/18,"IMPOSTO DE RENDA-FONTE        14,94",ADICIONAL DE FERIAS,PROVENTOS FERIAS,FERIAS-CONVERSAO ESPECIE,ANTECIPACAO ADIC. FERIAS,ANTEC. DE PROVENTOS - FER,ANTEC.CONVERS-FER/LP/AB/F,OUTROS DESCONTOS FERIAS,INSS FERIAS,PREVIDENCIA COMPL. FERIAS,GRATIF. NATAL-ADIANT.,GRATIFICACAO DE NATAL,IMPOSTO DE RENDA-FONTE  SETEMBRO/18,IMPOSTO DE RENDA-FONTE S/FERIAS
1,08,2018,"3.059,94","602,14","1.896,19","630,36","-12,89","-67,72","-0,54","0,90","0,12","0,12","0,38","3,26",,,,,,,,,,,,,,,,,,,,,
2,09,2018,"3.212,93","632,24","1.990,99","661,87",,"-81,13","-57,91",,,,,,"-16,24","-2,44","-76,12","1,14","0,16","0,16","0,48","4,11",,,,,,,,,,,,,
3,10,2018,"428,59","84,42","265,63","88,31",,"-49,82","-25,46",,,,,,,,,,,,,,"1.877,01","5.631,08","1.155,21","-1.877,21","-5.631,63","-1.155,21","300,35","621,04","600,70",,,,
4,11,2018,"3.212,93","632,24","1.990,99","661,87",,"-75,58","-2,58",,,,,,,,,,,,,,,,,,,,,,,"-3.094,31","6.498,03",,
5,12,2018,"3.212,93","632,24","1.990,99","661,87",,"-88,72","-3,06",,,,,,,,,,,,,,,,,,,,,,,,,"-14,98","14,98"
